CategoryId,FoodId,Food,GHG Emissions,Freshwater Withdrawals,Land Use,Eutrophying Emissions
1,1,Wheat & Rye (Bread),1.6,648,3.9,7.2
1,2,Maize (Meal),1.7,216,2.9,4
1,3,Barley (Beer),1.2,17,1.1,2.3
1,4,Oatmeal,2.5,482,7.6,11.2
1,5,Rice,4.5,2248,2.8,35.1
1,6,Potatoes,0.5,59,0.9,3.5
1,7,Cassava,1.3,0,1.8,0.7
4,8,Cane Sugar,3.2,620,2,16.9
4,9,Beet Sugar,1.8,218,1.8,5.4
2,10,Other Pulses,1.8,436,15.6,17.1
2,11,Peas,1,397,7.5,7.5
2,12,Nuts,0.4,4134,13,19.2
4,13,Groundnuts,3.2,1852,9.1,14.1
4,14,Soymilk,1,28,0.7,1.1
4,15,Tofu,3.2,149,3.5,6.2
4,16,Soybean Oil,6.3,415,10.5,11.7
4,17,Palm Oil,7.3,6,2.4,10.7
4,18,Sunflower Oil,3.6,1008,17.7,50.7
4,19,Rapeseed Oil,3.8,238,10.6,19.2
4,20,Olive Oil,5.4,2142,26.3,37.3
2,21,Tomatoes,2.1,370,0.8,7.5
2,22,Onions & Leeks,0.5,14,0.4,3.2
2,23,Root Vegetables,0.4,28,0.3,1.6
2,24,Brassicas,0.5,119,0.6,5
2,25,Other Vegetables,0.5,103,0.4,2.3
2,26,Citrus Fruit,0.4,83,0.9,2.2
2,27,Bananas,0.9,115,1.9,3.3
2,28,Apples,0.4,180,0.6,1.5
2,29,Berries & Grapes,1.5,420,2.4,6.1
4,30,Wine,1.8,79,1.8,4.6
2,31,Other Fruit,1.1,154,0.9,2.4
4,32,Coffee,28.5,26,21.6,110.5
4,33,Dark Chocolate,46.7,541,69,87.1
3,34,Bovine Meat (beef herd),99.5,1451,326.2,301.4
3,35,Bovine Meat (dairy herd),33.3,2714,43.2,365.3
3,36,Lamb & Mutton,39.7,1803,369.8,97.1
3,37,Pig Meat,12.3,1796,17.4,76.4
3,38,Poultry Meat,9.9,660,12.2,48.7
3,39,Milk,3.2,628,9,10.7
3,40,Cheese,23.9,5605,87.8,98.4
3,41,Eggs,4.7,578,6.3,21.8
3,42,Fish (farmed),13.6,3691,8.4,235.1
3,43,Crustaceans (farmed),26.9,3515,3,227.2
