Product,Land Use,GHG Emissions,Eutrophying Emissions,Freshwater Withdrawals
Wheat & Rye (Bread),3.9,1.6,7.2,648
Maize (Meal),2.9,1.7,4.0,216
Barley (Beer),1.1,1.2,2.3,17
Oatmeal,7.6,2.5,11.2,482
Rice,2.8,4.5,35.1,2248
Potatoes,0.9,0.5,3.5,59
Cassava,1.8,1.3,0.7,0
Cane Sugar,2.0,3.2,16.9,620
Beet Sugar,1.8,1.8,5.4,218
Other Pulses,15.6,1.8,17.1,436
Peas,7.5,1.0,7.5,397
Nuts,13.0,0.4,19.2,4134
Groundnuts,9.1,3.2,14.1,1852
Soymilk,0.7,1.0,1.1,28
Tofu,3.5,3.2,6.2,149
Soybean Oil,10.5,6.3,11.7,415
Palm Oil,2.4,7.3,10.7,6
Sunflower Oil,17.7,3.6,50.7,1008
Rapeseed Oil,10.6,3.8,19.2,238
Olive Oil,26.3,5.4,37.3,2142
Tomatoes,0.8,2.1,7.5,370
Onions & Leeks,0.4,0.5,3.2,14
Root Vegetables,0.3,0.4,1.6,28
Brassicas,0.6,0.5,5.0,119
Other Vegetables,0.4,0.5,2.3,103
Citrus Fruit,0.9,0.4,2.2,83
Bananas,1.9,0.9,3.3,115
Apples,0.6,0.4,1.5,180
Berries & Grapes,2.4,1.5,6.1,420
Wine,1.8,1.8,4.6,79
Other Fruit,0.9,1.1,2.4,154
Coffee,21.6,28.5,110.5,26
Dark Chocolate,69.0,46.7,87.1,541
Bovine Meat (beef herd),326.2,99.5,301.4,1451
Bovine Meat (dairy herd),43.2,33.3,365.3,2714
Lamb & Mutton,369.8,39.7,97.1,1803
Pig Meat,17.4,12.3,76.4,1796
Poultry Meat,12.2,9.9,48.7,660
Milk,9.0,3.2,10.7,628
Cheese,87.8,23.9,98.4,5605
Eggs,6.3,4.7,21.8,578
Fish (farmed),8.4,13.6,235.1,3691
Crustaceans (farmed),3.0,26.9,227.2,3515
